,mineral_id,mineral_name
1013,3606,Segnitite
1014,1559,Fülöppite
1015,1560,Florencite-(Ce)
1016,2916,Nitratine
1017,3611,Selenium
1018,1565,Fluellite
1019,3614,Sellaite
1020,3616,Semseyite
1021,3618,Senarmontite
1022,2651,Merlinoite
1023,1572,Fluorapatite
1024,1573,Fluorapophyllite-(K)
1025,3622,Serandite
1026,7719,Mercurian Tetrahedrite
1027,1576,Fluorite
1028,3625,Serpierite
1029,1579,Foitite
1030,11186,Buryatite
1031,32349,Mimetite-Pyromorphite Series
1032,1584,Forsterite
1033,3635,Shcherbakovite
1034,1589,Francevillite
1035,1591,Francisite
1036,1592,Franckeite
1037,3940,Thomsenolite
1038,7740,Hiddenite
1039,1598,Franklinite
1040,3647,Siderite
1041,3650,Sideronatrite
1042,1605,Freibergite
1043,1606,Freieslebenite
1044,3655,Siegenite
1045,268,Antlerite
1046,2658,Messelite
1047,3662,Sillimanite
1048,3663,Sillénite
1049,3664,Silver
1050,1617,Fuchsite
1051,3666,Simonellite
1052,3671,Sincosite
1053,1624,Feldspar Group
1054,3674,Sinkankasite
1055,3343,Quetzalcoatlite
1056,1628,Gadolinite-(Y)
1057,7773,Flos Ferri
1058,3678,Pyroaurite-2H
1059,1631,Gageite
1060,1632,Gahnite
1061,3682,Skutterudite
1062,7099,Petterdite
1063,3688,Smithsonite
1064,3689,Smoky Quartz
1065,1623,Faustite
1066,3691,Smythite
1067,4283,Wickmanite
1068,1641,Galena
1069,3348,Rabejacite
1070,4031,Trona
1071,3708,Sogdianite
1072,2803,Mückeite
1073,1663,Gearksutite
1074,1643,Galkhaite
1075,11004,Nickellotharmeyerite
1076,3397,Rhabdophane-(Ce)
1077,1671,Geminite
1078,3721,Spangolite
1079,1674,Geocronite
1080,3723,Sperrylite
1081,3725,Spessartine
1082,3727,Sphalerite
1083,3352,Raite
1084,1684,Gerstleyite
1085,3733,Spodumene
1086,1686,Getchellite
1087,1947,Humite
1088,1689,Gibbsite
1089,3739,Stibiotantalite
1090,1989,Hydroxyapophyllite-(K)
1091,3747,Stannite
1092,1701,Gismondine-Ca
1093,1702,Gittinsite
1094,1703,Giuseppettite
1095,3753,Staurolite
1096,3754,Steacyite
1097,1707,Glaucocerinite
1098,1711,Glaukosphaerite
1099,3760,Stellerite
1100,1992,Hydroxylapatite
1101,1714,Gmelinite
1102,3764,Stephanite
1103,1719,Goethite
1104,1720,Gold
1105,3126,Parsonsite
1106,1724,Gonnardite
1107,1726,Goosecreekite
1108,3701,Sodalite
1109,3776,Stibiconite
1110,1729,Gormanite
1111,3803,Stromeyerite
1112,7876,Blister Copper
1113,1733,Gowerite
1114,3782,Stibnite
1115,2337,Latrappite
1116,3784,Stichtite
1117,3785,Stilbite subgroup
1118,1740,Graphite
1119,1741,Gratonite
1120,7117,Jáchymovite
1121,5222,Destinezite
1122,9938,Cotterite
1123,2339,Laueite
1124,3796,Straczekite
1125,1749,Griceite
1126,1750,Grimaldiite
1127,3799,Strashimirite
1128,3801,Strengite
